Bank,First_Active_Month,Last_Active_Month
0,2025-09-01,2025-09-01
510 army base workshop credit cooperative primary bank limited,2024-04-01,2025-10-01
a b e cooperative bank limited,2024-04-01,2025-10-01
a p mahesh cooperative urban bank limited prepaid acm,2024-04-01,2025-02-01
a p state cooperative bank limited,2024-04-01,2025-10-01
abasaheb patil rendal sahakari bank limited rendal,2024-04-01,2025-10-01
abhinandan urban cooperative bank limited,2024-04-01,2025-10-01
abhinandan urban cooperative bank limited amravati,2024-04-01,2025-10-01
abhivriddhi mahila sahakara bank niyamita,2024-04-01,2025-10-01
abhyudaya cooperative bank limited,2024-04-01,2025-10-01
abhyudaya mahila urban cooperative bank limited channapatna,2024-12-01,2025-10-01
ace cooperative bank limited,2024-04-01,2025-10-01
adarniya p d patil sahakari bank,2024-04-01,2025-10-01
adarniya p d patilsaheb sahakari bank limited karad,2024-04-01,2025-10-01
adarniya pd patil bank,2024-04-01,2025-10-01
adarsh cooperative bank hyderabad,2024-04-01,2025-10-01
adarsh cooperative bank limited,2024-04-01,2025-10-01
adarsh cooperative bank limited rajasthan,2024-04-01,2025-10-01
adarsh mahila mercantile cooperative bank limited,2024-04-01,2025-10-01
adhyapaka urban cooperative bank limited,2024-04-01,2025-10-01
adinath cooperative urban bank,2024-04-01,2025-10-01
adv shamraoji shinde satyashodhak sahakar bank limited,2024-04-01,2025-10-01
agartala cooperative urban bank limited,2024-04-01,2025-10-01
agra zila sahakari bank limited,2024-04-01,2025-10-01
agroha cooperative bank limited,2024-04-01,2025-10-01
agroha cooperative urban bank limited,2024-04-01,2025-10-01
ahilyadevi urban cooperative bank limited,2025-02-01,2025-10-01
ahmedabad dist cooperative bank,2024-04-01,2025-10-01
ahmedabad merc cooperative bank limited,2024-04-01,2025-10-01
ahmednagar merchants cooperative bank limited,2024-04-01,2025-10-01
ahmednagar shahar sahakari bank limited,2024-04-01,2025-10-01
ahmednagar zilha prathmik shikshak sahakari bank limited,2025-07-01,2025-09-01
ahmednagar zilha prathmik shikshak sahakari bank limited ahmednagar,2024-04-01,2025-10-01
ahmednagar zilla prathmik shikshak sahakari bank l,2024-04-01,2025-10-01
ajinkyatara mahila sahakari bank limited satara,2024-04-01,2025-04-01
ajmer central cooperative bank limited,2024-04-01,2025-10-01
akhand anand cooperative bank limited,2024-04-01,2025-10-01
akola janata comm cooperative bank limited,2024-04-01,2025-10-01
akola merchant cooperative bank limited akola,2024-04-01,2024-04-01
alavi cooperative bank limited,2024-04-01,2025-10-01
alibag cooperative urban bank limited alibag,2024-04-01,2025-10-01
aligarh district cooperative bank limited aligarh,2024-04-01,2025-10-01
aligarh zila sahakari bank limited,2024-04-01,2025-10-01
allahabad bank,2024-04-01,2025-10-01
allahabad district central cooperative bank limited,2024-04-01,2025-10-01
allahabad district cooperative bank limited,2024-04-01,2025-10-01
almora urban cooperative bank limited,2024-04-01,2025-10-01
almora zila sahakari bank limited,2024-04-01,2025-10-01
almora zila sahakari bank limited almora,2024-04-01,2025-10-01
alwayeurbancoopbankltd 466,2024-04-01,2025-10-01
aman sahakari bank limited,2024-04-01,2025-10-01
aman sahakari bank limited ichalkaranji,2024-04-01,2025-10-01
amanath cooperative bank limited,2024-04-01,2024-05-01
amarnath cooperative bank limited,2024-04-01,2025-10-01
amazon,2024-04-01,2025-10-01
ambajogai peoples cooperative bank limited,2024-04-01,2025-10-01
ambarnath jai hind cooperative bank limited,2024-04-01,2025-10-01
amravati merchant cooperative bank limited,2024-04-01,2025-10-01
amravati zilla mahila sahakari bank limited,2024-04-01,2025-10-01
amreli nagarik sahakari bank limited,2024-04-01,2025-10-01
amreli nagrik sahakari bank limited,2024-04-01,2025-10-01
amrelli jilla madhyastha sahakari bank limited amreli,2024-04-01,2025-10-01
anand nagari sahakari bank limited nagpur,2024-04-01,2025-10-01
anandeshwari nagarik sahakari bank limited ujjain,2024-04-01,2025-10-01
andaman and nicobar state cooperative bank limited,2024-04-01,2025-10-01
andarsul urban cooperative bank limited andarsul,2025-03-01,2025-10-01
andhra pradesh gamen vikas bank,2024-04-01,2025-10-01
andhra pradesh grameena bank,2025-10-01,2025-10-01
andhra pradesh grameena vikas bank,2024-04-01,2025-10-01
andhra pradesh grameena vikas bank imps,2024-04-01,2025-10-01
andhra pradesh grameena vikash bank,2024-04-01,2025-10-01
andhra pradesh gramin vikas bank,2024-04-01,2025-10-01
andhra pragati gramin bank,2024-04-01,2025-10-01
andman and nicobar scb limited,2024-04-01,2025-10-01
angul central cooperative bank limited,2024-04-01,2025-10-01
annasaheb chougule urban cooperative bank limited,2024-04-01,2025-10-01
annasaheb magar sahakari bank limited,2024-04-01,2025-10-01
annasaheb magar sahakari bank limited bhosari,2024-04-01,2025-10-01
annual pass,2025-08-01,2025-09-01
anuradha urban cooperative bank limited chikhil,2024-04-01,2025-10-01
ap janata cooperative urban bank limited,2024-04-01,2025-10-01
ap mahesh cooperative bank,2024-04-01,2025-10-01
apna sahakari bank limited,2024-04-01,2025-10-01
