Month,TOTAL_VOL_LAKH,TOTAL_VAL_CRORE,BANK_COUNT
2024-04-01,570048.57305,13267076.214002179,2452
2024-05-01,599317.82906,13433305.510985475,2448
2024-06-01,591350.9,12943091.700000001,2417
2024-07-01,587523.2999999999,13446998.07,2400
2024-08-01,607102.52,13290057.25,2401
2024-09-01,608651.53,13141433.44,2402
2024-10-01,670631.98,14953524.75,2414
2024-11-01,626151.8237,13495445.885658337,2419
2024-12-01,702578.1497699999,14658381.227877041,2443
2025-01-01,712042.3030000001,14851024.563647784,2461
2025-02-01,675416.9748500002,13774204.062730419,2468
2025-03-01,764162.917,15887617.54760023,2482
2025-04-01,746257.91321,15240510.356646854,2459
2025-05-01,778519.6833,15653718.604378572,2470
2025-06-01,764883.93369,14853911.054521034,2477
2025-07-01,807474.50311,15628321.864165459,2485
2025-08-01,828688.66751,15138129.423324265,2481
2025-09-01,809857.7144,15253026.90234593,2490
2025-10-01,851487.09508,16440668.70642946,2349
